"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"aceveju01",2002,1,"DET","AL",1,5,65,0,0,0,28,224,68,22,4,23,43,,2.65,3,2,5,0,314,48,33,,,
"aceveju01",2003,1,"NYA","AL",0,3,25,0,0,0,6,77,34,22,5,10,19,0.31,7.71,3,2,2,0,125,19,24,,,
"aceveju01",2003,2,"TOR","AL",1,2,14,0,0,0,0,38,18,6,1,8,9,0.32,4.26,1,2,0,0,63,6,8,,,
"ackerji01",1983,1,"TOR","AL",5,1,38,5,0,0,1,293,103,47,7,38,44,0.27,4.33,1,1,8,0,426,8,52,,,
"ackerji01",1984,1,"TOR","AL",3,5,32,3,0,0,1,216,79,35,3,25,33,0.28,4.38,3,5,6,0,312,9,39,,,
"ackerji01",1985,1,"TOR","AL",7,2,61,0,0,0,10,259,86,31,7,43,42,0.26,3.23,1,2,3,0,370,26,35,,,
"ackerji01",1986,1,"TOR","AL",2,4,23,5,0,0,0,180,63,29,6,22,32,0.28,4.35,3,3,2,1,259,6,34,,,
"ackerji01",1986,2,"ATL","NL",3,8,21,14,0,0,0,285,100,40,7,26,37,0.27,3.79,3,2,1,0,402,3,47,,,
"ackerji01",1987,1,"ATL","NL",4,9,68,0,0,0,14,344,109,53,11,51,68,0.25,4.16,4,1,4,0,491,41,57,,,
"ackerji01",1988,1,"ATL","NL",0,4,21,1,0,0,0,126,45,22,6,14,25,0.28,4.71,3,2,1,0,184,7,26,,,
"ackerji01",1989,1,"ATL","NL",0,6,59,0,0,0,2,293,84,29,5,20,68,0.23,2.67,8,2,1,0,383,23,29,,,
"ackerji01",1989,2,"TOR","AL",2,1,14,0,0,0,0,85,24,5,1,12,24,0.23,1.59,3,1,1,0,116,3,7,,,
"ackerji01",1990,1,"TOR","AL",4,4,59,0,0,0,1,275,103,39,9,30,54,0.28,3.83,5,4,3,1,403,19,49,,,
"ackerji01",1991,1,"TOR","AL",3,5,54,4,0,0,1,265,77,51,16,36,44,0.23,5.20,5,7,2,0,374,11,53,,,
